countryName,nativeName,flag,code,capital,accession,population,area,gdp,gdpcapita,currency,gini,hdi,council,ep,populationReal,areaReal,gdpReal,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,Österreich,AT,AUT,Vienna,1995,8792.5,8385.5,437.582,49869,euro,29.1,0.885,10,18,8792500,83855,437582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34938,34508,62355,57687,40703,34385,89116,84394,80300,82081,15492,14390,14130,16109,17795,21230,25486,30773,37557,38906,42630,47073,51730,55598,60747,72216,93182
Belgium,België,BE,BEL,Brussels,Founder,11365.834,3052.8,534.23,46553,euro,33,0.89,12,21,11365834,30528,534230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25911,24071,24292,24908,19497,31691,36060,36060,15509,16760,18832,12265,12578,12595,13529,15282,16820,17575,17026,15545,17892,22402,22024,25629,29179,35314,42128
Bulgaria,???????? (B?lgariya),BG,BGR,Sofia,2007,7101.859,11099.4,55.824,21686,lev,29.2,0.782,10,17,7101859,110994,55824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,450,1060,1320,1430,390,240,547,1474,3004,3658,4068,4684,4413,4504,4836,5129,5393,5530,5688,2288,4320,11046,16557,17774
Croatia,Hrvatska,HR,HRI,Zagreb,2013,4154.213,5659.4,57.073,24423,kuna,29,0.818,7,11,4154213,56594,57073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403000,287000,183600,198647,165395,68863,29027,28374,22437,21875,8392,4387,3663,2927,2443,1642,1597,1238,936,824,724,684,726,522,255
Cyprus,?????? (Kípros),CY,CYP,Nicosia,2004,854.802,925.1,23.263,37023,euro,31.2,0.85,4,6,854802,9251,23263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,60,80,82,66,55,49,43,84,117,76,83,173,349,531,701,924,1194,1465,2888,3394,3503,3631,3883,5126,7067,8433
Czech Republic,?esko,CZ,CZE,Prague,2004,10467.628,7886.6,205.27,35512,Czech koruna,25.8,0.87,12,21,10467628,78866,205270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,9399,188,1186,2655,2266,1731,1805,1232,1186,1216,1297,1516,1144,1802,1887,2037,2110,2323,2449,2449,2805,2979,3137,3644,3580
Denmark,Danmark,DK,DKN,Copenhagen,1973,5743.947,4307.5,342.362,49883,krone (DKK),24.7,0.923,7,13,5743947,43075,342362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32906,36110,39118,44564,49558,64844,66373,68122,69015,69006,71035,73284,73597,69858,65310,44374,36659,26788,23401,20355,17922,13399,11814,13170,17785,27326,33436
Estonia,Eesti,EE,EET,Tallinn,2004,1315.635,4522.7,26.506,31749,euro,36,0.861,4,6,1315635,45227,26506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,10,12,11,7,5,18,22,24,39,50,63,70,90,168,287
Finland,Suomi,FI,FIN,Helsinki,1995,5577.282,33842.4,272.649,44333,3,26.9,0.883,7,13,5577282,338424,272649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348,4561,5950,8511,9511,10191,11382,12017,12290,12869,13276,12728,12490,10843,11325,11809,11827,6204,6617,7447,8724,9175,9919,11252,11798,12703,18302
France,France,FR,FRA,Paris,Founder,67024.633,63283.3,2833.687,43761,euro,32.7,0.888,29,74,67024633,632833,2833687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193000,174756,156512,166269,195288,155245,151329,146558,140215,129722,132508,131601,132182,130838,139852,137316,145996,151789,171206,196364,200687,210207,217865,232487,252264,273126,304507
Germany,Deutschland,DE,DER,Berlin,Founder[g],82437.641,35702.1,3874.437,50425,euro,28.3,0.916,29,96,82437641,357021,3874437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816000,821500,1236000,1418000,1354600,1267900,1266000,1049000,949200,975500,906000,903000,980000,960395,876622,700016,605406,578879,582735,593799,594269,571684,589737,187567,216973,316115,669408
Greece,?????? (Elláda),GR,GRE,Athens,1981,10757.293,13199,237.97,27737,euro,34.3,0.865,12,21,10757293,131990,237970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8488,8989,8456,7873,7784,4428,5780,5520,6145,6283,6653,6948,2788,2771,2489,2390,2289,2228,2164,1695,1444,1573,2100,3485,10304,24838,46381
Hungary,Magyarország,HU,HUN,Budapest,2004,9797.561,9303,136.989,29473,forint,30,0.828,12,21,9797561,93030,136989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45123,73838,32412,3023,2906,11394,7537,5890,3504,4990,5064,4710,6088,7023,7708,8046,8075,8131,7750,6044,5414,5106,4054,2440,2867,4393,4691
Ireland,Éire,IE,IEE,Dublin,1973,4774.833,7027.3,250.814,75538,euro,34.3,0.916,7,11,4774833,70273,250814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,300,500,119,400,400,69,430,600,2835,2543,3598,5380,5971,6542,7113,7917,9333,9730,9571,9107,8248,6327,6001,5853,6125,5655
Italy,Italia,IT,ITA,Rome,Founder,61219.113,30133.8,2147.744,38140,euro,36,0.873,29,73,61219113,301338,2147744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10840,9813,9258,50276,73060,74302,64711,66620,5473,6024,6849,8571,10060,12841,15674,20675,26875,38068,47061,54965,56397,58060,64779,76264,93715,118047,147302
Latvia,Latvija,LV,LVT,Riga,2004,1950.116,6458.9,31.972,27644,euro,35.7,0.819,4,8,1950116,64589,31972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,7,8,7,17,11,11,21,29,32,43,68,95,125,160,183,208,325
Lithuania,Lietuva,LT,LTT,Vilnius,2004,2847.904,6520,48.288,32299,euro,35.8,0.839,7,11,2847904,65200,48288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,34,44,55,287,368,403,470,531,531,688,751,793,803,821,871,916,1007,1093,1064
Luxembourg,Luxembourg,LU,LUX,Luxembourg,Founder,589.37,258.6,65.683,106374,euro,30.8,0.892,4,6,589370,2586,65683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,692,2208,225,300,700,700,700,700,700,759,1201,1201,1201,1590,1822,2206,2737,3109,3230,3254,2855,2910,920,1108,1332,1995
Malta,Malta,MT,MTL,Valletta,2004,440.433,31.6,10.514,41945,euro,25.8,0.839,3,6,440433,316,10514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,429,416,367,343,296,271,190,176,307,895,1558,1939,2404,3000,4332,5955,6136,6952,8248,9906,6095,7075,7901
Netherlands,Nederland,NL,NLT,Amsterdam,Founder,17220.721,4154.3,880.716,53635,euro,30.9,0.922,13,26,17220721,41543,880716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17337,19020,29739,43538,62163,79960,102588,118071,131490,138646,146180,151928,148362,140886,126805,118189,100574,86587,77600,76008,74961,74598,71909,74707,82494,88536,101702
Poland,Polska,PL,PLL,Warsaw,2004,37972.964,31268.5,547.894,29521,z?oty,34.9,0.843,27,51,37972964,312685,547894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,2719,810,393,600,600,835,898,942,1020,1311,1591,1836,2507,4604,6790,10053,12774,15320,15555,15847,15911,16438,15741,14065,11703
Portugal,Portugal,PT,PTR,Lisbon,1986,10309.573,9239,229.948,30416,euro,38.5,0.83,12,21,10309573,92390,229948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867,998,1778,600,248,248,308,319,339,379,433,449,462,418,377,363,333,353,403,389,384,408,483,598,699,853,1129
Romania,România,RO,ROM,Bucharest,2007,19638.309,23839.1,199.093,24508,leu,31.5,0.793,14,32,19638309,238391,199093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,520,1170,1170,194,269,640,989,1242,1685,1805,1857,2011,1627,2056,1658,1757,1596,1069,1021,1005,1262,1770,2182,2598,2855
Slovakia,Slovensko,SK,SKO,Bratislava,2004,5435.343,4903.5,99.869,33025,euro,25.8,0.844,7,13,5435343,49035,99869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521,159,2339,1387,746,424,443,457,472,444,414,409,368,248,279,317,401,461,546,662,701,799,820,955
Slovenia,Slovenija,SI,SIO,Ljubljana,2004,2065.895,2027.3,49.57,34407,euro,31.2,0.88,4,8,2065895,20273,49570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74100,45000,29156,22314,10014,5135,3465,4382,2816,2411,390,2069,304,251,254,263,268,289,314,142,176,213,257,292,439
Spain,España,ES,ESA,Madrid,1986,46528.966,50403,1406.538,38286,euro,32,0.876,27,54,46528966,504030,1406538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8303,4003,4036,4997,5361,5852,5688,5532,5939,6714,6987,6806,6780,5900,5686,5374,5275,5147,4661,3970,3820,4228,4510,4637,5798,6457,12943
Sweden,Sverige,SE,SEE,Stockholm,1995,10080,44996.4,570.591,51475,krona (SEK),25,0.907,10,20,10080000,449964,570591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109663,124470,131073,162402,200791,199212,191171,186725,178795,159513,157220,146491,142193,112167,73408,74915,79913,75078,77038,81356,82629,86615,92872,114175,142207,169520,230103
United Kingdom,United Kingdom,GB,GBI,London,1973,65808.573,24361,2950.039,44118,pound sterling,36,0.907,29,73,65808573,243610,2950039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43632,43371,64726,80230,85160,90909,98577,107933,121716,148922,186248,233389,260687,276522,298844,303181,301556,299718,292097,269363,238150,193510,149799,126055,117234,123067,118913
